,ZipCode,County
1,15001,Beaver
3,15004,Washington
5,15006,Allegheny
9,15012,Fayette
49,15062,Westmoreland
185,15310,Greene
243,15411,Somerset
318,15521,Bedford
326,15536,Fulton
393,15656,Armstrong
414,15681,Indiana
434,15711,Jefferson
437,15714,Cambria
442,15721,Clearfield
497,15821,Elk
503,15828,Forest
506,15832,Cameron
573,16001,Butler
586,16028,Clarion
615,16101,Lawrence
621,16110,Crawford
624,16113,Mercer
705,16301,Venango
707,16312,Warren
722,16333,Mckean
754,16401,Erie
818,16601,Blair
821,16611,Huntingdon
875,16677,Centre
894,16720,Potter
923,16822,Clinton
975,16901,Tioga
976,16910,Bradford
1009,17001,Cumberland
1010,17002,Mifflin
1011,17003,Lebanon
1013,17005,Dauphin
1014,17006,Perry
1022,17014,Juniata
1025,17017,Northumberland
1027,17019,York
1030,17022,Lancaster
1129,17201,Franklin
1181,17301,Adams
1318,17701,Lycoming
1331,17731,Sullivan
1366,17810,Union
1367,17812,Snyder
1369,17814,Columbia
1372,17821,Montour
1426,17901,Schuylkill
1474,18001,Northampton
1478,18011,Lehigh
1479,18012,Carbon
1496,18039,Bucks
1498,18041,Montgomery
1511,18056,Berks
1512,18058,Monroe
1553,18201,Luzerne
1597,18324,Pike
1632,18403,Lackawanna
1633,18405,Wayne
1637,18413,Susquehanna
1642,18419,Wyoming
1870,19008,Delaware
1880,19019,Philadelphia
2030,19301,Chester
